Temperament,Life Expectancy,AKC Breed Popularity,Weight,name,Height,url
"Confident, Famously Funny, Fearless",12-15 years,Ranks 148 of 195,7-10 pounds,Affenpinscher,9-11.5 inches,https://www.akc.org/dog-breeds/affenpinscher/
"Dignified, Profoundly Loyal, Aristocratic",12-15 years,Ranks 113 of 195,50-60 pounds,Afghan Hound,25-27 inches,https://www.akc.org/dog-breeds/afghan-hound/
"Friendly, Clever, Courageous",11-14 years,Ranks 60 of 195,50-70 pounds,Airedale Terrier,23 inches,https://www.akc.org/dog-breeds/airedale-terrier/
"Courageous, Dignified, Profoundly Loyal",10-13 years,Ranks 47 of 195,"100-130 pounds (male), 70-100 pounds (female)",Akita,"26-28 inches (male), 24-26 inches (female)",https://www.akc.org/dog-breeds/akita/
"Affectionate, Loyal, Playful",10-14 years,Ranks 58 of 195,"85 pounds (male), 75 pounds (female)",Alaskan Malamute,"25 inches (male), 23 inches (female)",https://www.akc.org/dog-breeds/alaskan-malamute/
"Loyal, Self-Confident",10-12 years,,75-100 pounds (males); 60-80 pounds (females),American Bulldog,22-25 inches (males); 20-23 inches (females),https://www.akc.org/dog-breeds/american-bulldog/
"Sweet, Mellow, Sociable",11-12 years,Ranks 175 of 195,45-65 pounds,American English Coonhound,"24-26 inches (male), 23-25 inches (female)",https://www.akc.org/dog-breeds/american-english-coonhound/
"Playful, Perky, Smart",13-15 years,Ranks 122 of 195,"6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",American Eskimo Dog,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)",https://www.akc.org/dog-breeds/american-eskimo-dog/
"Independent, Easy-Going, Sweet-Tempered",11-13 years,Ranks 186 of 195,"65-70 pounds (male), 60-65 pounds (female)",American Foxhound,"22-25 inches (male), 21-24 inches (female)",https://www.akc.org/dog-breeds/american-foxhound/
"Energetic, Alert, Curious",14-16 years,Ranks 136 of 195,12-16 pounds,American Hairless Terrier,12-16 inches,https://www.akc.org/dog-breeds/american-hairless-terrier/
"Sociable, Energetic, Intelligent",12-15 years,,45-70 pounds,American Leopard Hound,21-27 inches,https://www.akc.org/dog-breeds/american-leopard-hound/
"Confident, Smart, Good-Natured",12-16 years,Ranks 85 of 195,"55-70 pounds (male), 40-55 pounds (female)",American Staffordshire Terrier,"18-19 inches (male), 17-18 inches (female)",https://www.akc.org/dog-breeds/american-staffordshire-terrier/
"Eager, Happy, Charming",10-14 years,Ranks 166 of 195,"30-45 pounds (male), 25-40 pounds (female)",American Water Spaniel,15-18 inches,https://www.akc.org/dog-breeds/american-water-spaniel/
"Loyal, Independent, Reserved",11-13 years,Ranks 90 of 195,"110-150 pounds (male), 80-120 pounds (female)",Anatolian Shepherd Dog,"29 inches (male), 27 inches (female)",https://www.akc.org/dog-breeds/anatolian-shepherd-dog/
"Agile, Versatile, Lively",12-15 years,,48-70 pounds,Appenzeller Sennenhund,19-22 inches,https://www.akc.org/dog-breeds/appenzeller-sennenhund/
